accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	realtime
-0.25858167	9.014444	4.1756153	-22.887282	-42.4558297	65	49	12:09:11
-0.090982445	8.973742	4.278569	-22.887282	-42.4558297	65	90	12:09:11
-0.32562137	8.930645	5.2314906	-22.887282	-42.4558297	60	130	12:09:11
-0.3615355	8.650515	4.4126487	-22.887282	-42.4558297	63	171	12:09:11
-0.18435916	9.035994	4.364763	-22.887282	-42.4558297	64	211	12:09:11
-0.35435268	8.9186735	5.154874	-22.887282	-42.4558297	60	250	12:09:11
-0.339987	8.667274	4.4677167	-22.887282	-42.4558297	63	289	12:09:11
-0.10774237	8.935433	4.173221	-22.887282	-42.4558297	65	330	12:09:11
-0.2944958	8.880365	5.078257	-22.887282	-42.4558297	60	370	12:09:11
-0.3423813	8.676852	4.661653	-22.887282	-42.4558297	62	409	12:09:11
-0.117319465	8.877971	4.235472	-22.887282	-42.4558297	64	450	12:09:11
-0.18914771	8.875577	5.106988	-22.887282	-42.4558297	60	489	12:09:11
-0.3304099	8.691217	4.494054	-22.887282	-42.4558297	63	530	12:09:11
-0.23463893	8.935433	4.4629283	-22.887282	-42.4558297	63	575	12:09:11
-0.37829542	8.889942	5.0567083	-22.887282	-42.4558297	60	621	12:09:11
-0.29689008	8.724737	4.625739	-22.887282	-42.4558297	62	655	12:09:11
-0.20351335	8.830086	4.1804037	-22.887282	-42.4558297	65	695	12:09:11
-0.31365	8.923462	4.886715	-22.887282	-42.4558297	61	734	12:09:11
-0.34716985	8.645726	4.565882	-22.887282	-42.4558297	62	775	12:09:11
-0.18914771	8.868394	4.1085753	-22.887282	-42.4558297	65	815	12:09:11
-0.3304099	8.849239	4.886715	-22.887282	-42.4558297	61	854	12:09:11
-0.37590113	9.138947	5.619363	-22.887282	-42.4558297	58	895	12:09:11
-0.052674048	8.607418	4.276175	-22.887282	-42.4558297	64	938	12:09:11
0.028731298	8.396722	3.9960446	-22.887282	-42.4558297	65	975	12:09:11
-0.43336374	8.8085375	5.078257	-22.887282	-42.4558297	60	1012	12:09:12
-0.49082634	8.971348	4.338426	-22.887282	-42.4558297	64	1056	12:09:12
-0.28731298	8.906702	5.0591025	-22.887282	-42.4558297	60	1095	12:09:12
-0.61293435	8.79896	4.6065845	-22.887282	-42.4558297	62	1137	12:09:12
-0.10774237	8.729526	3.9170337	-22.887282	-42.4558297	66	1176	12:09:12
-0.22027329	8.76544	5.1285367	-22.887282	-42.4558297	60	1217	12:09:12
-0.35435268	8.662486	4.5946136	-22.887282	-42.4558297	62	1254	12:09:12
-0.1340794	8.858817	4.2737803	-22.887282	-42.4558297	64	1295	12:09:12
-0.2753416	8.775017	4.879532	-22.887282	-42.4558297	61	1346	12:09:12
-0.24900457	8.964165	5.027977	-22.8869468	-42.4683163	61	1392	12:09:12
-0.4285752	8.516436	4.62095	-22.8869468	-42.4683163	62	1432	12:09:12
-0.20590763	9.071907	4.3767343	-22.8869468	-42.4683163	64	1472	12:09:12
-0.38787252	8.818114	5.0662856	-22.8869468	-42.4683163	60	1514	12:09:12
-0.5363176	8.660092	4.697567	-22.8869468	-42.4683163	62	1555	12:09:12
-0.11971374	9.11261	4.434197	-22.8869468	-42.4683163	64	1597	12:09:12
-0.04070267	8.559532	4.9106574	-22.8869468	-42.4683163	60	1637	12:09:12
-0.43336374	8.796566	4.5275736	-22.8869468	-42.4683163	63	1675	12:09:12
-0.021548472	8.91628	4.685596	-22.8869468	-42.4683163	62	1715	12:09:12
-0.15323359	8.595447	4.747847	-22.8869468	-42.4683163	61	1756	12:09:12
-0.48124924	8.760652	4.532362	-22.8869468	-42.4683163	63	1795	12:09:12
-0.12210801	8.844451	4.4461684	-22.8869468	-42.4683163	63	1837	12:09:12
-0.69912827	8.794171	4.6041903	-22.8869468	-42.4683163	62	1893	12:09:12
-0.22027329	8.968953	4.826858	-22.8869468	-42.4683163	62	1933	12:09:12
-0.6081458	8.638543	4.7191157	-22.8869468	-42.4683163	61	1972	12:09:12
-0.2561874	8.909097	4.2187123	-22.8869468	-42.4683163	65	2020	12:09:13
-0.30886146	9.000079	4.8771377	-22.8869468	-42.4683163	62	2052	12:09:13
-0.6464542	8.514041	4.695173	-22.8869468	-42.4683163	61	2093	12:09:13
-0.117319465	8.909097	4.0104103	-22.8869468	-42.4683163	66	2135	12:09:13
-0.14605077	8.956982	4.9944572	-22.8869468	-42.4683163	61	2175	12:09:13
-0.6081458	8.573898	4.6712303	-22.8869468	-42.4683163	61	2216	12:09:13
-0.24900457	8.947405	4.1612496	-22.8869468	-42.4683163	65	2256	12:09:13
-0.25139886	8.842057	5.011217	-22.8869468	-42.4683163	60	2294	12:09:13
-0.5554718	8.743892	4.635316	-22.8869468	-42.4683163	62	2335	12:09:13
-0.20351335	8.990502	4.084633	-22.8869468	-42.4683163	66	2374	12:09:13
-0.3040729	8.813326	5.0423427	-22.8869468	-42.4683163	60	2416	12:09:13
-0.23463893	8.9498	4.371946	-22.8869468	-42.4683163	64	2459	12:09:13
-0.2681588	8.954588	4.503631	-22.8869468	-42.4683163	63	2495	12:09:13
-0.30646718	8.839663	4.6832013	-22.8869468	-42.4683163	62	2534	12:09:13
-0.51716334	8.71516	4.601796	-22.8869468	-42.4683163	62	2573	12:09:13
-0.117319465	8.968953	4.328849	-22.8869468	-42.4683163	64	2616	12:09:13
-0.45970076	8.741497	4.886715	-22.8869468	-42.4683163	61	2655	12:09:13
-0.6392714	8.777411	4.747847	-22.8869468	-42.4683163	62	2696	12:09:13
-0.18675344	8.897125	4.352792	-22.8869468	-42.4683163	64	2737	12:09:13
-0.25379312	8.880365	4.908263	-22.8869468	-42.4683163	61	2776	12:09:13
-0.5458947	8.696006	4.40786	-22.8869468	-42.4683163	63	2815	12:09:13
-0.15802214	8.968953	4.6233444	-22.8869468	-42.4683163	63	2857	12:09:13
-0.25379312	8.741497	4.9106574	-22.8869468	-42.4683163	61	2898	12:09:13
-0.5770202	8.667274	4.4820824	-22.8869468	-42.4683163	63	2936	12:09:13
